Data,Vendedor,Produto,Categoria,Regiao,Canal,Valor,Status
2025-01-01,Felipe Rocha,Add-on Automação,Add-ons,Norte,Outbound,305.71,Perdido
2025-01-01,Camila Reis,Plano Enterprise,Assinaturas,Norte,Indicação,831.33,Perdido
2025-01-02,Bruno Costa,Add-on Automação,Add-ons,Nordeste,Outbound,326.09,Fechado
2025-01-04,Elisa Martins,Plano Enterprise,Assinaturas,Centro-Oeste,Indicação,923.61,Fechado
2025-01-05,Ana Ferreira,Plano Enterprise,Assinaturas,Sul,Indicação,835.39,Perdido
2025-01-09,Camila Reis,Consultoria Onboarding,Serviços,Sul,Indicação,1148.52,Fechado
2025-01-09,Camila Reis,Plano Starter,Assinaturas,Nordeste,Parceria,93.95,Fechado
2025-01-11,Camila Reis,Plano Pro,Assinaturas,Sudeste,Indicação,279.58,Em negociação
2025-01-12,Felipe Rocha,Consultoria Onboarding,Serviços,Centro-Oeste,Inbound,1277.39,Perdido
2025-01-14,Felipe Rocha,Add-on Automação,Add-ons,Sudeste,Inbound,397.97,Fechado
2025-01-14,Ana Ferreira,Add-on Automação,Add-ons,Nordeste,Inbound,326.22,Fechado
2025-01-14,Elisa Martins,Plano Enterprise,Assinaturas,Sul,Parceria,1004.78,Fechado
2025-01-14,Camila Reis,Consultoria Onboarding,Serviços,Sudeste,Parceria,1074.76,Perdido
2025-01-15,Camila Reis,Plano Enterprise,Assinaturas,Sul,Outbound,889.94,Perdido
2025-01-17,Diego Souza,Consultoria Onboarding,Serviços,Centro-Oeste,Parceria,1178.82,Fechado
2025-01-18,Camila Reis,Plano Enterprise,Assinaturas,Centro-Oeste,Indicação,984.87,Em negociação
2025-01-18,Diego Souza,Consultoria Onboarding,Serviços,Nordeste,Inbound,1323.06,Fechado
2025-01-19,Ana Ferreira,Consultoria Onboarding,Serviços,Norte,Inbound,1318.16,Fechado
2025-01-19,Camila Reis,Consultoria Onboarding,Serviços,Sudeste,Indicação,1236.92,Em negociação
2025-01-20,Camila Reis,Treinamento In Company,Serviços,Centro-Oeste,Parceria,3576.0,Fechado
2025-01-20,Felipe Rocha,Plano Starter,Assinaturas,Norte,Parceria,97.54,Perdido
2025-01-24,Bruno Costa,Plano Pro,Assinaturas,Sudeste,Outbound,261.98,Perdido
2025-01-24,Camila Reis,Plano Enterprise,Assinaturas,Sul,Outbound,1022.6,Fechado
2025-01-26,Diego Souza,Plano Pro,Assinaturas,Sudeste,Inbound,280.77,Fechado
2025-01-27,Felipe Rocha,Add-on Automação,Add-ons,Sudeste,Parceria,386.2,Fechado
2025-01-27,Bruno Costa,Plano Enterprise,Assinaturas,Sudeste,Outbound,797.59,Fechado
